Palabras,Valor
inequívocamente,1
imperturbable,1
inolvidable,1
unidad,1
ilimitado,1
sin par,1
incuestionable,1
incuestionablemente,1
irreal,1
irrestricto,1
sin rivalidad,1
inquebrantable,1
optimista,1
actualizable,1
actualizado,1
sostenido,1
defender,1
edificación,1
edificante,1
elevación,1
exclusivo,1
usable,1
utilizable,1
reemplazable por el usuario,1
valioso,1
variedad,1
venerar,1
verifiable,1
VERDADERO,1
versátil,1
versatilidad,1
vibrante,1
vibrantemente,1
victorioso,1
victoria,1
visible,1
vigilancia,1
vigilante,1
virtud,1
virtuoso,1
virtuosamente,1
visionario,1
vivaz,1
vívido,1
atestiguar,1
conceder,1
calentar,1
más cálido,1
afectuoso,1
calurosamente,1
calor,1
Bienvenido,1
bien retroiluminado,1
bien equilibrado,1
bien educado,1
bien conectado,1
bien establecido,1
bien informado,1
bien intencionado,1
bien conocido,1
bien hecho,1
bien gestionado,1
bien posicionado,1
bien recibido,1
bien considerado,1
bien redondeado,1
bien dirigido,1
whoa,1
whooa,1
whoooa,1
de buena gana,1
disponibilidad,1
ganar,1
ganancia inesperada,1
ganable,1
ganador,1
ganadores,1
gana,1
sabiduría,1
won,1
preguntarse,1
cortejar,1
trabajo,1
trabajó,1
trabajos,1
mundialmente famoso,1
vale la pena,1
Guau,1
asombrando,1
juvenil,1
celo,1
cenit,1
buena,1
quiere,1
principio,1
media,1
fuerzas,1
quiero,1
buenos,1
lucha,1
presenta,1
comenzó,1
encuentran,1
conseguir,1
simple,1
cree,1
motivo,1
oportunidad,1
gusta,1
lograr,1
protección,1
responsable,1
empezó,1
esperanza,1
cumplir,1
añadió,1
comienza,1
quiso,1
presentó,1
logró,1
contrato,1
firma,1
presentar,1
encontraba,1
diseño,1
encontró,1
integración,1
asegura,1
resolver,1
quieres,1
resolución,1
logrado,1
equilibrio,1
presentan,1
empieza,1
perfectamente,1
inicio,1
estudiar,1
queremos,1
apertura,1
reconocer,1
amplia,1
cooperación,1
populares,1
conseguido,1
empezar,1
pasión,1
lógica,1
placer,1
permiten,1
añade,1
inició,1
encontramos,1
ofrecer,1
pura,1
reconoce,1
interesa,1
entiende,1
consiguió,1
positivo,1
exclusivamente,1
imaginación,1
aprender,1
recuperar,1
promoción,1
creado,1
quiera,1
permitió,1
alcanza,1
levantó,1
satisfacción,1
segura,1
reconoció,1
rápida,1
creen,1
iniciar,1
permitir,1
comenzaron,1
comenzar,1
deseos,1
impulso,1
dispone,1
inicia,1
combate,1
levanta,1
descanso,1
añadir,1
ofrecen,1
ilusión,1
logra,1
ofreció,1
preparar,1
consigue,1
ética,1
merece,1
legales,1
convencido,1
prevención,1
imprescindible,1
consigo,1
gustaba,1
cumple,1
firmado,1
precisión,1
orgullo,1
vigor,1
adquirir,1
confirmó,1
encontrarse,1
entiendo,1
respaldo,1
exportaciones,1
renovación,1
encontraron,1
permitirá,1
aceptación,1
asiento,1
crees,1
empezaron,1
renta,1
ligeramente,1
salvar,1
descubrió,1
aprovechar,1
encontraban,1
querían,1
alza,1
halla,1
compromisos,1
apoyar,1
perfecta,1
comenzado,1
aceptó,1
simples,1
compartir,1
sencilla,1
vanguardia,1
milagro,1
correcta,1
cualidades,1
destacan,1
indispensable,1
prepara,1
disponer,1
bellas,1
lucía,1
proteger,1
adquisición,1
creó,1
elaborado,1
aprobó,1
sorprendente,1
contempla,1
esenciales,1
prevé,1
pacífico,1
empezado,1
cercana,1
presentarse,1
récord,1
amo,1
contemplar,1
crece,1
contribuir,1
leve,1
paraíso,1
beso,1
elaborar,1
fomento,1
empezaba,1
aporte,1
entendido,1
lograron,1
vencer,1
aseguran,1
interesantes,1
perfección,1
comienzan,1
adquiere,1
celebró,1
participaron,1
exportación,1
estudia,1
noble,1
referente,1
bello,1
positivos,1
encontré,1
disponibles,1
participan,1
originales,1
deseaba,1
ríe,1
célebre,1
sonrió,1
operativo,1
definido,1
respetar,1
celebra,1
razonable,1
productividad,1
permitía,1
estreno,1
rescate,1
adquirido,1
sorprendió,1
medalla,1
empiezan,1
notables,1
aportación,1
eficiencia,1
avanza,1
recomendaciones,1
estudiado,1
inauguración,1
licencia,1
fieles,1
ternura,1
sagrado,1
hallaba,1
firmar,1
funcionar,1
prevenir,1
cumplen,1
solucionar,1
participó,1
defiende,1
escuchó,1
bonito,1
descubre,1
incorporar,1
ideales,1
creatividad,1
aportar,1
convencer,1
creando,1
recomienda,1
quise,1
celebrará,1
sonríe,1
brillo,1
trascendencia,1
acercamiento,1
optimismo,1
cumplió,1
presentaba,1
aporta,1
simpatía,1
confirmar,1
transparencia,1
esencialmente,1
ligera,1
inocencia,1
valorar,1
colaborar,1
comenzaba,1
gustado,1
acordó,1
superado,1
aportaciones,1
puramente,1
cercanos,1
piedad,1
credibilidad,1
hallazgo,1
reposo,1
ofrecía,1
caridad,1
favorables,1
averiguar,1
libremente,1
efectividad,1
escuchaba,1
ilusiones,1
favorecer,1
corregir,1
exacta,1
méritos,1
salvación,1
risas,1
adecuadas,1
esperado,1
facilita,1
levantarse,1
llenos,1
aprovechó,1
productivo,1
alcanzan,1
amores,1
firmó,1
dulces,1
impulsar,1
contribuye,1
quieras,1
favorece,1
hallan,1
incorpora,1
enseñar,1
adecuadamente,1
creció,1
creciendo,1
emprender,1
corrección,1
invitó,1
divina,1
relevante,1
productiva,1
pacífica,1
cuidadosamente,1
entendía,1
vivas,1
sentimental,1
estudiando,1
quieran,1
popularidad,1
llenas,1
joyas,1
merecen,1
fomentar,1
integrar,1
aprovechamiento,1
sumo,1
bonita,1
campeones,1
iniciaron,1
moderado,1
hallar,1
funcionan,1
garantiza,1
disponen,1
enseña,1
vitales,1
cercanas,1
preparando,1
sutil,1
disponía,1
fortalecer,1
factura,1
reconocen,1
superó,1
recaudación,1
venció,1
nobles,1
relevantes,1
aceptable,1
conformidad,1
victorias,1
solemne,1
sumar,1
definida,1
concede,1
ayudó,1
invita,1
alcanzaron,1
pureza,1
diseñado,1
dispuso,1
comparten,1
estudió,1
sorpresas,1
cumpliendo,1
motivación,1
compensación,1
regalos,1
voluntarios,1
nobleza,1
acordado,1
fáciles,1
amplias,1
válido,1
privilegios,1
simbólico,1
escuchando,1
consolidar,1
vencedor,1
contundente,1
confía,1
sagrada,1
adquirió,1
estético,1
entienden,1
triunfos,1
consiguieron,1
logran,1
positivas,1
enseñó,1
permitiría,1
cualidad,1
concedió,1
magnífica,1
permitieron,1
apoyó,1
gratuita,1
entenderse,1
arreglar,1
construye,1
levante,1
hallazgos,1
nutrientes,1
defenderse,1
habilidades,1
potable,1
recomendación,1
apoyan,1
atiende,1
quisieron,1
ayudan,1
reparación,1
crecen,1
entendemos,1
reconciliación,1
facilidades,1
bienvenida,1
convencidos,1
goza,1
gozar,1
consiguen,1
atractiva,1
resuelve,1
resoluciones,1
suaves,1
cumpla,1
lograba,1
provecho,1
poético,1
adaptarse,1
invento,1
contribuyen,1
cortesía,1
atendiendo,1
incorporarse,1
protegido,1
rescatar,1
compensar,1
romántica,1
queriendo,1
quieto,1
auxilio,1
salvó,1
voluntaria,1
reconstruir,1
productivas,1
encontrará,1
arranque,1
aseguraron,1
medallas,1
nacen,1
moderada,1
ofreciendo,1
resolvió,1
rápidos,1
auténticos,1
regula,1
aseguraba,1
discreción,1
inauguró,1
contribuyó,1
luchando,1
reparar,1
alzó,1
incorporó,1
perdona,1
contratar,1
excitación,1
adquieren,1
creativa,1
arranca,1
aprendió,1
aprende,1
sonreír,1
avanzando,1
diversión,1
simpático,1
voluntariamente,1
dinámico,1
puros,1
construyó,1
interesaba,1
aceptan,1
discreto,1
guapa,1
aportan,1
recupera,1
amorosa,1
voluntario,1
interesan,1
leves,1
estables,1
recuperó,1
levantaba,1
favoritos,1
localizar,1
precioso,1
avanzó,1
renovar,1
viabilidad,1
emocionales,1
arrancó,1
excepcionales,1
prever,1
ventura,1
aprovecha,1
refuerzo,1
hermosas,1
preparan,1
superan,1
júbilo,1
empezamos,1
espectaculares,1
silenciosa,1
precisos,1
unirse,1
atractivos,1
sonreía,1
ganaron,1
debut,1
rentable,1
ofrecieron,1
enmiendas,1
ganan,1
productivos,1
encanta,1
ofrecerá,1
originalidad,1
rendir,1
encuentren,1
entendió,1
socorro,1
operativos,1
lucidez,1
elaborados,1
plácido,1
valentín,1
beneficiarios,1
celebran,1
firmaron,1
defienden,1
crearon,1
iniciará,1
permitiendo,1
participarán,1
ganaba,1
generosa,1
regaló,1
suavidad,1
descubrieron,1
silencioso,1
definidos,1
comenzando,1
contenta,1
viable,1
inician,1
defendido,1
acuerdas,1
carcajada,1
derrotar,1
inteligentes,1
iniciarse,1
presenten,1
enseñado,1
estudian,1
comencé,1
sabios,1
carcajadas,1
integra,1
conseguía,1
merecía,1
adecuación,1
reconocía,1
innovaciones,1
discreta,1
motivaciones,1
contemplaba,1
riendo,1
amaba,1
cumplan,1
entiendes,1
activo,1
alfabetizado,1
ameno,1
aprendizaje,1
apto,1
ardúo,1
arrepentido,1
asesorar,1
asistir,1
astuto,1
bondadoso,1
brinda,1
caballeroso,1
calificado,1
camaradas,1
centrado,1
compadecerse,1
competente,1
comprender,1
conferencia,1
confesar,1
configurar,1
conoce,1
conquistar,1
consciente,1
consentimiento,1
constante,1
contar,1
contenido,1
contribucion,1
controlar,1
convenir,1
conviccion,1
cooperar,1
cordura,1
cotidiano,1
creciente,1
creencia,1
creer,1
cuidado,1
curioso,1
decente,1
dedica,1
definitivo,1
demuestra,1
derecho,1
desarrolla,1
desempeño,1
desenmarañar,1
despertar,1
destacable,1
destellar,1
destinar,1
destreza,1
desvalido,1
determinación,1
devoción,1
dichoso,1
didáctica,1
diferente,1
disciplina,1
disponbilidad,1
disposición,1
dispuesto,1
distinguir,1
distinto,1
divertir,1
dominio,1
efectivo,1
ejemplificar,1
elegible,1
empático,1
empeño,1
enfático,1
entrega,1
escrúpulos,1
esfuerza,1
esmerado,1
especial,1
estar,1
evidente,1
evitar,1
exige,1
exorbitante,1
explícito,1
expresivo,1
extrovertida,1
fiable,1
forjado,1
franco,1
fructuoso,1
funcional,1
galantemente,1
ganga,1
genuino,1
gráfico,1
gratificar,1
gustoso,1
imparte,1
inatacable,1
incalculable,1
incluso,1
incorruptible,1
indestructible,1
indisputable,1
indistinto,1
individualidad,1
indomable,1
inercia,1
inescapable,1
informativo,1
inimaginable,1
inquisitivo,1
insistir,1
intencionadamente,1
interceder,1
interes,1
irrefutable,1
laborioso,1
listo,1
magro,1
maneja,1
merecer,1
meticuloso,1
mimar,1
modesto,1
motiva,1
notorio,1
obedecer,1
óptima,1
perseverar,1
persistente,1
persuadir,1
pertinente,1
planea,1
puntual,1
refutar,1
renovarse,1
retroalimenta,1
sobresaliente,1
solidario,1
soportable,1
tacto,1
tolerar,1
trabajador,1
transmite,1
trata,1
último,1
venerable,1
sabe,1
demostrar,1
excelentísimo,1
excelentisimo,1
sabidurìa,1
queriamos,1
acuerdese,1
honra,1
humildemente,1
húmilde,1
boquete,1
rapido,1
increible,1
love,1
happy,1
forgive,1
pandemia,-1
dimisión,-1
confinamiento,-1
sinvergüenza,-1
mentiroso,-1
inepto,-1
incompetente,-1
cabra,-1
cabro,-1
cabrón,-1
hoax,-1
Ébola,-1
inútil,-1
muerto,-1
embustero,-1
gentuza,-1
puta,-1
puto,-1
genocida,-1
irresponsable,-1
fallecimiento,-1
vago,-1
imbécil,-1
inculto,-1
rastrero,-1
ignorante,-1
mamarracho,-1
puñetero,-1
gilipollas,-1
fascista,-1
expediente de regulación de empleo,-1
psicópata,-1
zancadilla,-1
mangante,-1
retrasado,-1
asesino,-1
caradura,-1
desempleado,-1
charlatán,-1
lameculos,-1
dictador,-1
cagado,-1
víctima,-1
cateto,-1
ostra,-1
ladrón,-1
chavista,-1
basura,-1
maleducado,-1
epidemia,-1
canalla,-1
analfabeto,-1
hipócrita,-1
etarra,-1
narcisista,-1
mamón,-1
corrupto,-1
chulo,-1
hambre,-1
delincuente,-1
kaka,-1
capullo,-1
tolai,-1
carvajales,-1
sepulveda,-1
idrissi,-1
masivo,-1
mauri,-1
tiri,-1
perea,-1
desalmar,-1
humildad,-1
nerja,-1
omi,-1
lamentación,-1
garrulo,-1
sovaldi,-1
pregúntale,-1
idiota,-1
stefanie,-1
busibar,-1
sra,-1
recojerla,-1
flexibilizar,-1
errores,-1
graciasss,-1
dorca,-1
marilu,-1
farsantes,-1
berton,-1
arcos,-1
ogando,-1
feito,-1
sanjuanero,-1
sc,-1
others,-1
sabiais,-1
pouco,-1
santi,-1
censurador,-1
andres,-1
katerina,-1
imigrantes,-1
lidio,-1
donais,-1
marante,-1
mallord,-1
perpiñá,-1
cinicos,-1
beaumarchais,-1
pedofilo,-1
espumarajo,-1
vam,-1
ásesinos,-1
conocian,-1
warda,-1
pedirle,-1
fecal,-1
amin,-1
agricultores,-1
ridiculo,-1
inés,-1
neceditamos,-1
fronteiras,-1
vaaaa,-1
descojo,-1
pillao,-1
ail,-1
anaemia,-1
bacteria,-1
calamity,-1
coldness,-1
contaminate,-1
Corrupt,-1
Epilepsy,-1
Fibromyalgia,-1
flu,-1
herpes,-1
liar,-1
loosing,-1
miscreant,-1
misdeed,-1
sickness,-1
tantrum,-1
uncontrolled,-1
witchcraft,-1
contagio,-1
contagiar,-1
dimitir,-1
ebola,-1
dimision,-1
confinar,-1
infectar,-1
neumonia,-1
verguenza,-1
cerda,-1
postureo,-1
desoyo,-1
murais,-1
cabron,-1
irresponsables,-1
muertos,-1
gilipolleces,-1
sandez,-1
ridiculas,-1
vividor,-1
chusma,-1
júlia,-1
muertes,-1
inutil,-1
indignante,-1
rancio,-1
estanco,-1
ostia,-1
incompetencia,-1
estupidos,-1
asesinos,-1
ere,-1
condolencia,-1
asco,-1
vergonzoso,-1
ruina,-1
demagogo,-1
jodanseles,-1
asesinós,-1
pavonearte,-1
cierrenlo,-1
suspenderas,-1
contagiarian,-1
aislarla,-1
maleÃ¯t,-1
infectarse,-1
demandais,-1
trabajosin,-1
protestabamos,-1
mentirosillo,-1
quitaros,-1
decaigais,-1
chupais,-1
confinados,-1
manipulais,-1
aislarse,-1
muerete,-1
analfabeta,-1
descoordinacion,-1
despreciais,-1
deslocalizacion,-1
jodidisimo,-1
chiná,-1
chinese,-1
inutiles,-1
bulo,-1
indefendible,-1
impresentable,-1
olvideis,-1
sinverguenzas,-1
imbecil,-1
bobada,-1
fami­lies,-1
drasticas,-1
cretino,-1
lie,-1
parados,-1
rabiar,-1
ruin,-1
luto,-1
infamar,-1
multas,-1
negligencia,-1
ineptitud,-1
tot,-1
pobres,-1
envidioso,-1
aplazamiento,-1
enfermos,-1
mentiras,-1
cerrar,-1
quejo,-1
milonga,-1
nauseabundo,-1
maletin,-1
negligente,-1
denigrar,-1
vetar,-1
arruinar,-1
muerta,-1
estorbar,-1
penuria,-1
robarnosla,-1
multones,-1
contagiandose,-1
cerradlo,-1
gastarselo,-1
catarrin,-1
insolidario,-1
insensatez,-1
incuria,-1
gastos,-1
quejais,-1
impuestos,-1
virulencia,-1
estrepitosamente,-1
multar,-1
miserable,-1
problemon,-1
vagos,-1
absurdidad,-1
malgastar,-1
jodid­o,-1
fake,-1
indignacion,-1
sinverguenza,-1
afligir,-1
superfluo,-1
injuria,-1
soberbia,-1
inutilidad,-1
joder,-1
inhabilitar,-1
quejar,-1
congelar,-1
afectados,-1
quebrantar,-1
muera,-1
detenednos,-1
reprimirlas,-1
maleducados,-1
censurais,-1
mentiran,-1
temeis,-1
gravalos,-1
maquiavelicos,-1
ineptos,-1
caeis,-1
recortar,-1
confinado,-1
pamplina,-1
bulos,-1
chorras,-1
cansino,-1
aplazar,-1
deshonra,-1
desamparado,-1
epidemiólogo,-1
urgentemente,-1
angustioso,-1
infeccion,-1
compinche,-1
suspension,-1
llorón,-1
defectuoso,-1
cabreo,-1
asmático,-1
manchais,-1
congelais,-1
fastidiais,-1
italia,-1
llorais,-1
tardeis,-1
cerrais,-1
tardais,-1
mentirosa,-1
mierdas,-1
cataclismo,-1
paralizacion,-1
ostias,-1
paralizar,-1
cachondeo,-1
fascistas,-1
carencias,-1
cobardes,-1
criticais,-1
prevaricar,-1
miente,-1
cierralas,-1
preocuparamos,-1
borrachuzo,-1
chapuza,-1
lastra,-1
tonterias,-1
encarecidamente,-1
verborrea,-1
incoherencia,-1
insultar,-1
tonteria,-1
chinche,-1
paralizalo,-1
interrumpiamos,-1
muriendose,-1
ahogandose,-1
quejaos,-1
desempleos,-1
lamenteis,-1
achicarse,-1
contagiais,-1
pierdete,-1
denuncieis,-1
robarnos,-1
cerreis,-1
penita,-1
sandeces,-1
pegueis,-1
moririamos,-1
impediran,-1
arriesgarse,-1
desesperados,-1
corteis,-1
sanguijuelas,-1
crispacion,-1
desoir,-1
comemierdas,-1
quitarse,-1
paripe,-1
dictadores,-1
rufian,-1
cabronada,-1
canallas,-1
culpables,-1
mierda,-1
grima,-1
asqueroso,-1
hijoputa,-1
cagar,-1
acojonar,-1
matais,-1
ladrones,-1
patetico,-1
ladron,-1
bazofia,-1
maldad,-1
mori,-1
parado,-1
malversar,-1
dantesco,-1
desmantelar,-1
podredumbre,-1
desfallecer,-1
acecho,-1
desolador,-1
caos,-1
desprecio,-1
sicario,-1
tirano,-1
nefasto,-1
suicidar,-1
gravemente,-1
endeudamiento,-1
desastre,-1
ahogar,-1
quiebra,-1
frustrar,-1
fallecer,-1
doloroso,-1
odiar,-1
hundir,-1
odio,-1
crisis,-1
palma,-1
criminal,-1
trastorno,-1
abuso,-1
lárguense,-1
porros,-1
patalear,-1
mofar,-1
multais,-1
dramaticeis,-1
protesteis,-1
cagaos,-1
manipuleis,-1
paralos,-1
carato,-1
mamona,-1
vírus,-1
genocidas,-1
mentirosos,-1
dramaticos,-1
condolencias,-1
criminales,-1
preocuparse,-1
tontorrona,-1
simplon,-1
estafadores,-1
jilipollas,-1
escondia,-1
perderan,-1
jolines,-1
malisima,-1
imprudentemente,-1
egoistas,-1
ratas,-1
gandul,-1
miserables,-1
mentir,-1
fallecido,-1
estupida,-1
ilegalización,-1
carajo,-1
chanchullo,-1
vergüenza,-1
tontería,-1
problemilla,-1
follón,-1
palabrería,-1
dopar,-1
mentira,-1
despotricar,-1
joer,-1
pavor,-1
desoír,-1
deberiamos,-1
murio,-1
desinformar,-1
quite,-1
fastidiar,-1
coño,-1
ilegalmente,-1
fria,-1
descaro,-1
tonto,-1
tramposo,-1
intoxicar,-1
chillar,-1
entristecer,-1
avaricia,-1
barbaridad,-1
ictus,-1
amedrentar,-1
ineficacia,-1
despreocupar,-1
lacra,-1
desgraciar,-1
chorrada,-1
inconscientemente,-1
burlar,-1
estafa,-1
genocidio,-1
tos,-1
cinismo,-1
enfado,-1
descontrolar,-1
equivocación,-1
insulto,-1
infeliz,-1
abusivo,-1
desgracia,-1
machismo,-1
manipulador,-1
contaminar,-1
acechar,-1
tsunami,-1
recorte,-1
machacar,-1
ceguera,-1
peste,-1
afectado,-1
harto,-1
rabia,-1
patético,-1
egoísmo,-1
rencor,-1
entierro,-1
resentir,-1
ilegítimo,-1
reproche,-1
provocación,-1
cero,-1
destituir,-1
desmejorar,-1
infectandose,-1
lia,-1
absurdo,-1
rabiosos,-1
dimitis,-1
fullero,-1
tacha,-1
patetica,-1
faltón,-1
preso,-1
mangonear,-1
chorra,-1
cadaver,-1
ridiculez,-1
salvajada,-1
presos,-1
bipolar,-1
idiotez,-1
irina,-1
burrada,-1
agobio,-1
cabezón,-1
abismal,-1
racista,-1
rabioso,-1
irónicamente,-1
imprudente,-1
llorar,-1
mediocridad,-1
tergiversar,-1
estupidez,-1
necio,-1
desprestigiar,-1
amargar,-1
cínico,-1
protestar,-1
obstruir,-1
morir,-1
culpar,-1
hitler,-1
saturación,-1
perdido,-1
penoso,-1
emergencias,-1
frenar,-1
descalificar,-1
exigir,-1
difuso,-1
destructivo,-1
criticar,-1
colapsar,-1
lamentable,-1
culpa,-1
anormal,-1
preocupar,-1
descontento,-1
peor,-1
aislar,-1
riesgo,-1
incapacidad,-1
arder,-1
denegar,-1
lástima,-1
rata,-1
confuso,-1
pena,-1
cansar,-1
mal,-1
pesadilla,-1
despedir,-1
horrible,-1
malo,-1
pico,-1
colar,-1
arruinarnos,-1
antiéstetica,-1
lucrarse,-1
escondeis,-1
crítican,-1
cansais,-1
critiqueis,-1
inútiles,-1
borrachin,-1
pamplinas,-1
epidemias,-1
molestias,-1
ceporro,-1
mojon,-1
asesinatos,-1
maricon,-1
esclavos,-1
bochornoso,-1
cocaina,-1
vomitivo,-1
desganar,-1
desobedecer,-1
denuncias,-1
patán,-1
dolores,-1
payasada,-1
puf,-1
nimio,-1
destrozo,-1
chupe,-1
maleante,-1
despecho,-1
impaciente,-1
peto,-1
difamar,-1
escupir,-1
expolio,-1
ruinoso,-1
reventar,-1
infundado,-1
fiasco,-1
exiguo,-1
horroroso,-1
ilógico,-1
repugnante,-1
egoísta,-1
cutre,-1
escandalizar,-1
resfriado,-1
pique,-1
peque,-1
largar,-1
vulnerable,-1
detestar,-1
culpable,-1
despreciable,-1
pereza,-1
úlcera,-1
vomitar,-1
destructor,-1
fusilar,-1
desaparecete,-1
infectarian,-1
largaros,-1
arruinais,-1
censureis,-1
emergência,-1
largaos,-1
vividores,-1
largate,-1
enfadeis,-1
ranciar,-1
jodeis,-1
aburris,-1
engañeis,-1
saqueos,-1
sinvergüenzas,-1
dimisiones,-1
lastrar,-1
pateticos,-1
abusos,-1
hipocritas,-1
criticón,-1
osado,-1
egoismo,-1
fracasado,-1
manipulacion,-1
crimenes,-1
necesitado,-1
bajeza,-1
farsante,-1
puff,-1
pará,-1
rabieta,-1
corrupcion,-1
chavistas,-1
ocultamiento,-1
desgraciado,-1
descaradamente,-1
imperdonable,-1
apenar,-1
redundancia,-1
manipular,-1
miseria,-1
masacrar,-1
abatir,-1
bobo,-1
pendejo,-1
timo,-1
vil,-1
renegar,-1
desanimar,-1
locura,-1
nerviosismo,-1
arremeter,-1
desahucio,-1
triste,-1
entorpecer,-1
follar,-1
pesimas,-1
fuèrza,-1
robais,-1
joderse,-1
retírate,-1
quiteis,-1
mateis,-1
extorsiones,-1
jodais,-1
morio,-1
mongolo,-1
revenido,-1
lepra,-1
jolin,-1
fraudes,-1
lacrar,-1
cadaveres,-1
majadero,-1
traicion,-1
charlatanería,-1
pulmonía,-1
atolondrar,-1
vacias,-1
jo,-1
lies,-1
gilipollez,-1
resbalón,-1
usurero,-1
enfermar,-1
plebe,-1
desorganización,-1
desvalido,-1
deslealtad,-1
cojear,-1
mugre,-1
crucificar,-1
desperdicio,-1
maltratador,-1
desleal,-1
cólico,-1
tardanza,-1
indigente,-1
histérico,-1
horrorizar,-1
endurecer,-1
fúnebre,-1
frustrante,-1
ignorancia,-1
drástico,-1
cabrear,-1
desinformación,-1
cegar,-1
enfermo,-1
perjudicado,-1
deberian,-1
engañar,-1
defunción,-1
vengar,-1
cabestro,-1
recortes,-1
aislense,-1
ciérralo,-1
charlatana,-1
cerrarlo,-1
embusteros,-1
mamarrachos,-1
borracha,-1
mamarracha,-1
chatarras,-1
petarda,-1
putear,-1
prepotente,-1
tardo,-1
egoista,-1
marrano,-1
deficit,-1
demonios,-1
crispación,-1
hostia,-1
impopular,-1
sádico,-1
letargo,-1
envenenar,-1
llaga,-1
impotente,-1
derribo,-1
parar,-1
congestión,-1
suspender,-1
congelación,-1
angustiar,-1
penalización,-1
embargar,-1
impago,-1
destrozar,-1
irritar,-1
paro,-1
pecado,-1
lío,-1
pudrir,-1
sacrificar,-1
defraudar,-1
matar,-1
indiferencia,-1
falsedad,-1
parásito,-1
muerte,-1
impedimento,-1
chupar,-1
robar,-1
cancelar,-1
mancilla,-1
enrabietar,-1
lias,-1
impotencia,-1
fakes,-1
incultura,-1
fanatismos,-1
caerÃƒÂ£,-1
idiotas,-1
estigmas,-1
recaerÃƒÂ£,-1
manipuladores,-1
errÃƒÂ£,-1
fanatismo,-1
bastos,-1
censurar,-1
ocultÃƒÂ£,-1
sufrÃƒÂ£,-1
criticÃƒÂ£,-1
liÃƒÂ£,-1
olvidÃƒÂ£,-1
evitarÃƒÂ£,-1
matarÃƒÂ£,-1
tarugo,-1
deberiais,-1
dimitÃƒÂ£,-1
pariÃƒÂ£,-1
tardarÃƒÂ£,-1
desgraciados,-1
desfavorecer,-1
bobadilla,-1
endeudar,-1
criticÃƒÂ³n,-1
cerrÃƒÂ£,-1
paralizÃƒÂ£,-1
trolero,-1
imbeciles,-1
cabrones,-1
asesinÃƒÂ£,-1
putos,-1
yuyu,-1
criticarÃƒÂ£,-1
faltÃƒÂ£,-1
matÃƒÂ£,-1
asmÃƒÂ£,-1
quejÃƒÂ£,-1
perdiÃƒÂ£,-1
ironÃƒÂ£,-1
apatico,-1
dimiti,-1
faltarÃƒÂ£,-1
censura,-1
epidemiÃƒÂ£,-1
mentirÃƒÂ£,-1
Item,-1
mascarilla,-1
siverguenza,-1
test,-1
ignorant,-1
ignorance,-1
cuarentena,-1
aroa,-1
albarran,-1
respirador,-1
mascarillas,-1
tes,-1
iborra,-1
estais,-1
tebar,-1
coleta,-1
troll,-1
govierno,-1
agueda,-1
borrego,-1
lopez,-1
inflitrado,-1
nooo,-1
noo,-1
tests,-1
pacotilla,-1
noooo,-1
cimas,-1
cicatrices,-1
autoridades,-1
rectificar,-1
alertcops,-1
aprobado,-1
nandy,-1
fleischman,-1
palomino,-1
tfm,-1
diaz,-1
triz,-1
iesus,-1
sepe,-1
yaaaa,-1
alb,-1
jamones,-1
gavira,-1
panda,-1
nicolas,-1
veganasno,-1
tranquilizantedeseando,-1
manadasno,-1
independentistasno,-1
eutanasiano,-1
opposicion,-1
chichet,-1
miedola,-1
celador,-1
anjeles,-1
engañas,-1
gallinas,-1
bonilla,-1
politicos,-1
haceis,-1
palabrear,-1
venga,-1
well,-1
moncloa,-1
mayte,-1
subnormal,-1
vilapeix,-1
progrespresidente,-1
llaneza,-1
pprros,-1
kalcker,-1
trabalhar,-1
facherio,-1
simon,-1
navar,-1
aver,-1
descapacitar,-1
carrotero,-1
guadalcazar,-1
desescalada,-1
cujo,-1
ultraderecha,-1
cojones,-1
protecion,-1
each,-1
necesiteis,-1
derechas,-1
alo,-1
should,-1
dejais,-1
knowledge,-1
teneis,-1
sanidad,-1
macarena,-1
argumentos,-1
velez,-1
hablais,-1
victimar,-1
inactitud,-1
desconfinamiento,-1
antonia,-1
socialcomunistas,-1
docando,-1
fachita,-1
tralara,-1
joputas,-1
llamamiento,-1
lumbrera,-1
porfavor,-1
casteleiro,-1
entoces,-1
hijosdeputa,-1
iglesias,-1
fernandez,-1
vosotros,-1
sii,-1
poneis,-1
canovas,-1
carrasco,-1
gisbert,-1
difference,-1
brotons,-1
between,-1
lives,-1
conditions,-1
violador,-1
ramadan,-1
cole,-1
patologias,-1
evaluable,-1
tranquilizante,-1
jose,-1
vitalicio,-1
oposicion,-1
conejillo,-1
desinfectar,-1
hernandez,-1
esque,-1
sepulturero,-1
menda,-1
hechar,-1
fabor,-1
yolanda,-1
remar,-1
espabilar,-1
mercadona,-1
acedo,-1
belen,-1
salgar,-1
azotea,-1
asta,-1
plumero,-1
borrico,-1
have,-1
seguis,-1
mari,-1
autonomo,-1
habeis,-1
asesinoooooo,-1
bajaros,-1
transparenciapor,-1
moratel,-1
because,-1
inecto,-1
guilipollas,-1
casoplon,-1
incoherente,-1
semanas,-1
plumazo,-1
solucciones,-1
borja,-1
ilegalizacion,-1
pinochos,-1
pandemias,-1
payaso,-1
queros,-1
requisar,-1
oleee,-1
hacernos,-1
daros,-1
celadores,-1
pinocho,-1
precidente,-1
difficult,-1
morning,-1
filosofar,-1
hdez,-1
sueldos,-1
bots,-1
alarma,-1
tigo,-1
